vaucher;site;ng/ul;lat;lon;collector
5120;Gaitán, Murcia, ES;162;37.56181;-1.25927;MNCN5120
5121;Gaitán, Murcia, ES;14;37.56181;-1.25927;MNCN5121
5122;Valcárcel, Murcia, ES;65;37.98705;-1.12861;MNCN5122
40282;Tarifa, Cádiz, ES;184;36.01432;-5.60444;PC  T 2
40283;Tarifa, Cádiz, ES;176;36.01432;-5.60444;PC  T 3
66306;Benalup-Casas Viejas, Cádiz, ES;29;36.34318;-5.81664;IMS 4415
66307;Benalup-Casas Viejas, Cádiz, ES;16;36.34318;-5.81664;IMS 4416
66308;Benalup-Casas Viejas, Cádiz, ES;;36.34318;-5.81664;IMS 4417
68301;Tocha, Cantanhede, Coimbra, PT;74;40.32223;-8.77014;IMS 3831
68302;Tocha, Cantanhede, Coimbra, PT;;40.32223;-8.77014;IMS 3832
68314;Tocha, Cantanhede, Coimbra, PT;52;40.32223;-8.77014;IMS 3831 F
106625;Los Escoriales, Andújar, Jaén, ES;22;38.3734;-4.12515;PC 376
106626;Los Escoriales, Andújar, Jaén, ES;40;38.3734;-4.12515;PC 377
106627;Los Escoriales, Andújar, Jaén, ES;;38.3734;-4.12515;PC 378
106628;Los Escoriales, Andújar, Jaén, ES;;38.3734;-4.12515;PC 379
106642;Villanueva del Duque, Córdoba, ES;;38.39312;-4.99874;PC 393
106643;Villanueva del Duque, Córdoba, ES;132;38.39312;-4.99874;PC 394
106644;Villanueva del Duque, Córdoba, ES;80;38.39312;-4.99874;PC 395
106645;Villanueva del Duque, Córdoba, ES;;38.39312;-4.99874;PC 396
106655;El Pedroso, Sevilla, ES;44;37.84156;-5.76553;PC 406
106656;El Pedroso, Sevilla, ES;29;37.84156;-5.76553;PC 407
106657;El Pedroso, Sevilla, ES;57;37.84156;-5.76553;PC 408
106659;El Pedroso, Sevilla, ES;;37.84156;-5.76553;PC 410
106697;Sedas, Espirito, Mértelo, Beja, PT;;37.63629;-7.6647;PC 448
106698;Sedas, Espirito, Mértelo, Beja, PT;;37.63629;-7.6647;PC 449
106699;Sedas, Espirito, Mértelo, Beja, PT;53;37.63629;-7.6647;PC 450
106700;Sedas, Espirito, Mértelo, Beja, PT;142;37.63629;-7.6647;PC 451
106718;Boticos, Abela, Santiago do Cacém, Setúbal, PT;;38.00563;-8.50077;PC 469
106719;Boticos, Abela, Santiago do Cacém, Setúbal, PT;55;38.00563;-8.50077;PC 470
